age,gender,state,income,occupation,category,rural,student,disability,scheme_category
31,Female,Uttar Pradesh,74000.0,Unemployed,General,Yes,No,No,Women & Child Development
48,Male,Maharashtra,63500.0,Daily Wage Worker,ST,Yes,No,No,Rural & Urban Livelihood Support
65,Female,Gujarat,30000.0,Self-Employed,General,Yes,No,No,Senior Citizen Pension & Healthcare
32,Male,Uttar Pradesh,258000.0,Self-Employed,OBC,No,No,No,Skill Development & Entrepreneurship
25,Female,Bihar,51200.0,Artisan,General,No,No,No,Women & Child Development
31,Female,Maharashtra,80300.0,Salaried,General,Yes,No,No,Women & Child Development
40,Male,Rajasthan,93700.0,Self-Employed,SC,Yes,No,No,Skill Development & Entrepreneurship
74,Male,Karnataka,177900.0,Farmer,ST,Yes,No,No,Senior Citizen Pension & Healthcare
57,Female,Madhya Pradesh,121300.0,Farmer,OBC,Yes,No,No,Agriculture & Farmer Welfare
38,Female,West Bengal,232100.0,Self-Employed,EWS,Yes,No,No,Women & Child Development
33,Male,Madhya Pradesh,40300.0,Self-Employed,OBC,No,No,No,Skill Development & Entrepreneurship
62,Female,Rajasthan,53800.0,Student,EWS,Yes,Yes,No,Education & Scholarships
35,Female,Gujarat,154500.0,Unemployed,ST,No,No,No,Women & Child Development
64,Male,Uttar Pradesh,104000.0,Daily Wage Worker,SC,Yes,No,No,Senior Citizen Pension & Healthcare
70,Male,Kerala,93100.0,Daily Wage Worker,SC,Yes,No,No,Senior Citizen Pension & Healthcare
41,Female,Maharashtra,42500.0,Student,OBC,Yes,Yes,No,Education & Scholarships
43,Male,West Bengal,436900.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
42,Male,Rajasthan,241900.0,Salaried,OBC,Yes,No,No,Rural & Urban Livelihood Support
62,Male,Gujarat,53300.0,Unemployed,OBC,Yes,No,No,Senior Citizen Pension & Healthcare
58,Male,Madhya Pradesh,42100.0,Farmer,General,No,No,No,Agriculture & Farmer Welfare
46,Female,Rajasthan,693100.0,Student,OBC,Yes,Yes,No,Education & Scholarships
32,Female,West Bengal,235800.0,Artisan,ST,Yes,No,No,Women & Child Development
62,Female,West Bengal,127300.0,Farmer,General,Yes,No,No,Senior Citizen Pension & Healthcare
18,Male,Gujarat,247800.0,Daily Wage Worker,SC,Yes,No,No,Rural & Urban Livelihood Support
42,Female,Madhya Pradesh,284200.0,Salaried,General,Yes,No,No,Women & Child Development
24,Male,Bihar,302500.0,Farmer,OBC,Yes,No,No,Agriculture & Farmer Welfare
26,Female,West Bengal,147000.0,Student,OBC,Yes,Yes,No,Education & Scholarships
41,Female,Maharashtra,131100.0,Salaried,OBC,No,No,No,Women & Child Development
18,Male,Maharashtra,32000.0,Student,SC,No,Yes,No,Education & Scholarships
61,Female,Karnataka,500000.0,Salaried,General,No,No,No,Senior Citizen Pension & Healthcare
25,Female,Madhya Pradesh,196400.0,Daily Wage Worker,OBC,No,No,No,Women & Child Development
41,Male,Rajasthan,70900.0,Salaried,SC,Yes,No,No,Rural & Urban Livelihood Support
28,Female,Maharashtra,483700.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
68,Male,Gujarat,473600.0,Student,SC,Yes,Yes,No,Education & Scholarships
34,Male,Rajasthan,844800.0,Artisan,General,No,No,No,Skill Development & Entrepreneurship
25,Female,Madhya Pradesh,402900.0,Artisan,SC,Yes,No,No,Women & Child Development
52,Male,Gujarat,1130200.0,Farmer,ST,Yes,No,No,Agriculture & Farmer Welfare
52,Male,Uttar Pradesh,80500.0,Salaried,SC,No,No,No,Rural & Urban Livelihood Support
50,Female,Tamil Nadu,362400.0,Unemployed,General,No,No,No,Rural & Urban Livelihood Support
22,Female,Maharashtra,341700.0,Daily Wage Worker,OBC,No,No,No,Women & Child Development
59,Female,Maharashtra,77300.0,Student,SC,Yes,Yes,No,Education & Scholarships
56,Male,Karnataka,48700.0,Daily Wage Worker,General,Yes,No,No,Rural & Urban Livelihood Support
75,Female,Bihar,729000.0,Daily Wage Worker,OBC,Yes,No,No,Senior Citizen Pension & Healthcare
58,Male,Karnataka,93200.0,Artisan,SC,Yes,No,No,Skill Development & Entrepreneurship
45,Male,Madhya Pradesh,398500.0,Salaried,OBC,Yes,No,No,Rural & Urban Livelihood Support
24,Male,Karnataka,30700.0,Student,OBC,Yes,Yes,No,Education & Scholarships
26,Female,Bihar,33800.0,Farmer,ST,Yes,No,Yes,Social Welfare & Disability Support
25,Female,Bihar,142900.0,Student,General,Yes,Yes,No,Skill Development & Entrepreneurship
29,Male,West Bengal,79100.0,Unemployed,OBC,No,No,No,Rural & Urban Livelihood Support
51,Female,West Bengal,240700.0,Self-Employed,SC,No,No,No,Women & Child Development
50,Female,Tamil Nadu,180100.0,Farmer,ST,Yes,No,No,Agriculture & Farmer Welfare
65,Female,Gujarat,44500.0,Student,OBC,Yes,Yes,No,Education & Scholarships
72,Female,Uttar Pradesh,61900.0,Student,SC,Yes,Yes,No,Education & Scholarships
40,Male,Bihar,118400.0,Student,SC,Yes,Yes,No,Education & Scholarships
41,Female,Uttar Pradesh,67000.0,Artisan,OBC,No,No,No,Women & Child Development
54,Female,Maharashtra,312800.0,Farmer,General,No,No,No,Agriculture & Farmer Welfare
52,Female,Kerala,126800.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
61,Male,Tamil Nadu,47700.0,Unemployed,SC,Yes,No,No,Senior Citizen Pension & Healthcare
57,Male,Madhya Pradesh,149200.0,Self-Employed,ST,No,No,No,Skill Development & Entrepreneurship
39,Female,Rajasthan,47100.0,Daily Wage Worker,OBC,Yes,No,No,Women & Child Development
44,Male,Uttar Pradesh,54800.0,Student,SC,Yes,Yes,No,Education & Scholarships
52,Male,Karnataka,79300.0,Farmer,SC,Yes,No,No,Agriculture & Farmer Welfare
18,Male,Bihar,383300.0,Artisan,OBC,No,No,No,Skill Development & Entrepreneurship
52,Male,Uttar Pradesh,495300.0,Farmer,SC,Yes,No,Yes,Social Welfare & Disability Support
54,Female,Rajasthan,345000.0,Student,OBC,Yes,Yes,No,Education & Scholarships
64,Female,Bihar,103200.0,Unemployed,ST,No,No,No,Senior Citizen Pension & Healthcare
31,Female,Madhya Pradesh,87300.0,Salaried,General,Yes,No,No,Women & Child Development
20,Female,Kerala,173400.0,Student,General,Yes,Yes,No,Education & Scholarships
18,Transgender,Karnataka,260300.0,Farmer,SC,Yes,No,No,Agriculture & Farmer Welfare
22,Female,Uttar Pradesh,933000.0,Salaried,General,Yes,No,No,Women & Child Development
43,Female,West Bengal,55400.0,Student,ST,No,Yes,No,Education & Scholarships
72,Male,Tamil Nadu,39100.0,Self-Employed,General,Yes,No,No,Senior Citizen Pension & Healthcare
31,Male,Uttar Pradesh,243400.0,Salaried,ST,Yes,No,No,Rural & Urban Livelihood Support
56,Female,Uttar Pradesh,351300.0,Salaried,General,Yes,No,No,Women & Child Development
44,Female,Rajasthan,367200.0,Artisan,OBC,No,No,No,Women & Child Development
26,Female,Rajasthan,234200.0,Student,ST,Yes,Yes,No,Education & Scholarships
32,Male,Tamil Nadu,584300.0,Farmer,SC,No,No,No,Agriculture & Farmer Welfare
32,Female,Uttar Pradesh,158800.0,Salaried,SC,Yes,No,No,Women & Child Development
43,Female,Gujarat,471200.0,Salaried,EWS,Yes,No,No,Women & Child Development
59,Male,Madhya Pradesh,648500.0,Self-Employed,OBC,No,No,No,Skill Development & Entrepreneurship
30,Female,Rajasthan,368100.0,Daily Wage Worker,General,Yes,No,No,Women & Child Development
68,Male,Rajasthan,96700.0,Daily Wage Worker,OBC,Yes,No,No,Senior Citizen Pension & Healthcare
49,Female,Gujarat,69300.0,Daily Wage Worker,General,Yes,No,No,Women & Child Development
56,Female,Bihar,173000.0,Unemployed,SC,Yes,No,No,Women & Child Development
66,Male,Uttar Pradesh,138600.0,Daily Wage Worker,EWS,Yes,No,No,Senior Citizen Pension & Healthcare
69,Male,Tamil Nadu,408300.0,Self-Employed,General,No,No,No,Senior Citizen Pension & Healthcare
49,Female,Rajasthan,49000.0,Farmer,SC,No,No,No,Agriculture & Farmer Welfare
21,Male,Tamil Nadu,83700.0,Daily Wage Worker,ST,Yes,No,No,Rural & Urban Livelihood Support
47,Male,Tamil Nadu,280800.0,Artisan,SC,Yes,No,No,Skill Development & Entrepreneurship
54,Male,Madhya Pradesh,48000.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
40,Female,West Bengal,99600.0,Unemployed,General,Yes,No,No,Women & Child Development
56,Male,Rajasthan,118100.0,Daily Wage Worker,EWS,Yes,No,No,Rural & Urban Livelihood Support
62,Female,Karnataka,205400.0,Salaried,EWS,No,No,No,Senior Citizen Pension & Healthcare
32,Female,Bihar,61000.0,Student,General,No,Yes,No,Education & Scholarships
60,Female,Tamil Nadu,384700.0,Self-Employed,ST,No,No,No,Senior Citizen Pension & Healthcare
46,Female,Rajasthan,136800.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
53,Male,Bihar,478100.0,Salaried,OBC,No,No,No,Rural & Urban Livelihood Support
30,Female,Karnataka,143600.0,Student,EWS,Yes,Yes,No,Education & Scholarships
49,Female,Rajasthan,87900.0,Self-Employed,OBC,No,No,No,Rural & Urban Livelihood Support
24,Male,Uttar Pradesh,57500.0,Unemployed,OBC,Yes,No,No,Rural & Urban Livelihood Support
68,Female,Tamil Nadu,30700.0,Farmer,General,Yes,No,No,Senior Citizen Pension & Healthcare
39,Female,Karnataka,166700.0,Salaried,General,Yes,No,No,Women & Child Development
45,Female,Uttar Pradesh,50400.0,Unemployed,General,No,No,No,Women & Child Development
19,Female,Tamil Nadu,119500.0,Farmer,OBC,Yes,No,No,Agriculture & Farmer Welfare
59,Female,Maharashtra,190200.0,Student,ST,No,Yes,No,Education & Scholarships
62,Male,Kerala,88100.0,Farmer,ST,No,No,No,Senior Citizen Pension & Healthcare
74,Female,Gujarat,64700.0,Farmer,General,Yes,No,Yes,Social Welfare & Disability Support
70,Female,Tamil Nadu,298300.0,Salaried,General,No,No,No,Senior Citizen Pension & Healthcare
23,Male,Karnataka,558000.0,Salaried,SC,No,No,No,Rural & Urban Livelihood Support
45,Male,Karnataka,49100.0,Student,SC,No,Yes,No,Education & Scholarships
45,Female,Kerala,60400.0,Artisan,General,Yes,No,No,Women & Child Development
61,Male,Rajasthan,609500.0,Self-Employed,General,No,No,No,Senior Citizen Pension & Healthcare
61,Female,Gujarat,36900.0,Student,OBC,No,Yes,No,Education & Scholarships
37,Female,Bihar,714000.0,Farmer,OBC,Yes,No,No,Agriculture & Farmer Welfare
47,Male,Tamil Nadu,30800.0,Farmer,General,Yes,No,No,Agriculture & Farmer Welfare
28,Female,Rajasthan,402400.0,Self-Employed,SC,Yes,No,No,Women & Child Development
75,Male,Uttar Pradesh,96100.0,Daily Wage Worker,SC,No,No,No,Senior Citizen Pension & Healthcare
72,Female,Bihar,532200.0,Daily Wage Worker,SC,Yes,No,No,Senior Citizen Pension & Healthcare
45,Male,Gujarat,98600.0,Student,OBC,Yes,Yes,No,Education & Scholarships
42,Female,Rajasthan,221200.0,Unemployed,SC,No,No,No,Women & Child Development
56,Male,West Bengal,45000.0,Daily Wage Worker,OBC,Yes,No,Yes,Social Welfare & Disability Support
50,Male,Bihar,80000.0,Salaried,General,No,No,No,Rural & Urban Livelihood Support
18,Male,Madhya Pradesh,297400.0,Artisan,SC,Yes,No,No,Skill Development & Entrepreneurship
74,Female,Madhya Pradesh,165400.0,Salaried,General,Yes,No,No,Senior Citizen Pension & Healthcare
44,Male,Tamil Nadu,503500.0,Unemployed,General,Yes,No,No,Rural & Urban Livelihood Support
74,Male,Tamil Nadu,130800.0,Artisan,General,No,No,No,Senior Citizen Pension & Healthcare
69,Male,Tamil Nadu,397000.0,Farmer,ST,No,No,Yes,Social Welfare & Disability Support
30,Male,Gujarat,137300.0,Salaried,General,No,No,No,Rural & Urban Livelihood Support
58,Male,West Bengal,727500.0,Daily Wage Worker,SC,No,No,No,Rural & Urban Livelihood Support
20,Female,Rajasthan,608700.0,Salaried,EWS,Yes,No,No,Women & Child Development
56,Female,Uttar Pradesh,101900.0,Unemployed,SC,Yes,No,No,Women & Child Development
23,Female,Maharashtra,420800.0,Self-Employed,General,Yes,No,No,Women & Child Development
25,Female,Karnataka,368600.0,Student,OBC,Yes,Yes,No,Education & Scholarships
44,Male,Uttar Pradesh,72600.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
26,Male,Rajasthan,206200.0,Salaried,General,Yes,No,No,Rural & Urban Livelihood Support
54,Male,West Bengal,43600.0,Farmer,SC,No,No,No,Agriculture & Farmer Welfare
50,Female,Gujarat,356200.0,Student,General,No,Yes,No,Education & Scholarships
68,Male,Bihar,64500.0,Daily Wage Worker,EWS,Yes,No,No,Senior Citizen Pension & Healthcare
59,Male,Uttar Pradesh,43200.0,Daily Wage Worker,OBC,No,No,No,Rural & Urban Livelihood Support
61,Male,Bihar,122000.0,Farmer,SC,Yes,No,No,Senior Citizen Pension & Healthcare
41,Male,Maharashtra,184800.0,Farmer,General,No,No,No,Agriculture & Farmer Welfare
32,Female,Rajasthan,377500.0,Artisan,General,Yes,No,No,Women & Child Development
71,Male,West Bengal,688600.0,Student,SC,Yes,Yes,No,Education & Scholarships
49,Male,Rajasthan,134200.0,Unemployed,OBC,Yes,No,No,Rural & Urban Livelihood Support
49,Female,Karnataka,41200.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
41,Female,Gujarat,278900.0,Unemployed,General,No,No,Yes,Social Welfare & Disability Support
58,Male,Karnataka,179900.0,Unemployed,General,Yes,No,No,Rural & Urban Livelihood Support
69,Male,Rajasthan,136900.0,Daily Wage Worker,SC,No,No,No,Senior Citizen Pension & Healthcare
66,Transgender,Karnataka,96600.0,Farmer,EWS,Yes,No,No,Senior Citizen Pension & Healthcare
66,Male,Kerala,155600.0,Self-Employed,OBC,No,No,Yes,Social Welfare & Disability Support
75,Female,Rajasthan,104400.0,Artisan,General,Yes,No,No,Senior Citizen Pension & Healthcare
69,Female,West Bengal,284700.0,Farmer,SC,Yes,No,No,Senior Citizen Pension & Healthcare
29,Female,Uttar Pradesh,171300.0,Unemployed,EWS,No,No,No,Women & Child Development
56,Female,West Bengal,407000.0,Artisan,EWS,Yes,No,No,Women & Child Development
19,Female,Kerala,171200.0,Unemployed,SC,Yes,Yes,No,Education & Scholarships
20,Female,Uttar Pradesh,79000.0,Student,General,Yes,Yes,No,Education & Scholarships
66,Female,Kerala,372800.0,Student,OBC,Yes,Yes,No,Education & Scholarships
54,Male,Uttar Pradesh,176600.0,Salaried,General,Yes,No,No,Rural & Urban Livelihood Support
66,Female,West Bengal,71700.0,Self-Employed,General,No,No,No,Senior Citizen Pension & Healthcare
73,Male,Rajasthan,205800.0,Self-Employed,SC,Yes,No,Yes,Social Welfare & Disability Support
34,Male,Tamil Nadu,109700.0,Self-Employed,General,Yes,No,No,Skill Development & Entrepreneurship
66,Female,Madhya Pradesh,364900.0,Farmer,SC,Yes,No,No,Senior Citizen Pension & Healthcare
19,Female,Madhya Pradesh,138700.0,Daily Wage Worker,General,No,No,Yes,Social Welfare & Disability Support
19,Female,Kerala,263300.0,Student,SC,No,Yes,No,Education & Scholarships
45,Female,Madhya Pradesh,48100.0,Self-Employed,OBC,No,No,No,Women & Child Development
71,Male,West Bengal,120800.0,Self-Employed,OBC,Yes,No,Yes,Social Welfare & Disability Support
40,Female,Bihar,766000.0,Salaried,OBC,Yes,No,No,Women & Child Development
54,Female,Kerala,327500.0,Self-Employed,ST,No,No,No,Women & Child Development
49,Female,Uttar Pradesh,61400.0,Student,OBC,No,Yes,No,Education & Scholarships
50,Transgender,Gujarat,88600.0,Self-Employed,SC,Yes,No,No,Skill Development & Entrepreneurship
18,Male,Karnataka,102000.0,Student,OBC,Yes,Yes,No,Education & Scholarships
36,Male,West Bengal,219200.0,Farmer,General,Yes,No,No,Agriculture & Farmer Welfare
19,Female,Uttar Pradesh,284600.0,Student,ST,Yes,Yes,No,Education & Scholarships
70,Male,Bihar,279200.0,Self-Employed,General,No,No,No,Senior Citizen Pension & Healthcare
61,Male,Gujarat,158400.0,Student,OBC,Yes,Yes,No,Education & Scholarships
43,Male,Madhya Pradesh,329700.0,Artisan,OBC,Yes,No,No,Skill Development & Entrepreneurship
49,Transgender,Bihar,133400.0,Salaried,ST,Yes,No,Yes,Social Welfare & Disability Support
23,Female,Kerala,53800.0,Daily Wage Worker,General,Yes,No,No,Women & Child Development
49,Male,Maharashtra,179600.0,Student,General,Yes,Yes,No,Education & Scholarships
72,Male,Maharashtra,577700.0,Farmer,General,Yes,No,No,Senior Citizen Pension & Healthcare
21,Female,Madhya Pradesh,313500.0,Daily Wage Worker,OBC,No,No,No,Women & Child Development
72,Female,Maharashtra,185600.0,Salaried,OBC,Yes,No,No,Senior Citizen Pension & Healthcare
28,Male,Maharashtra,217300.0,Student,SC,Yes,Yes,No,Education & Scholarships
73,Female,Uttar Pradesh,510100.0,Unemployed,SC,Yes,No,No,Senior Citizen Pension & Healthcare
34,Male,Uttar Pradesh,130700.0,Self-Employed,OBC,Yes,No,No,Skill Development & Entrepreneurship
55,Male,Karnataka,102500.0,Self-Employed,SC,Yes,No,No,Skill Development & Entrepreneurship
41,Male,Rajasthan,710900.0,Salaried,ST,Yes,No,No,Rural & Urban Livelihood Support
22,Female,Madhya Pradesh,388400.0,Daily Wage Worker,ST,No,No,No,Women & Child Development
69,Male,Maharashtra,100200.0,Unemployed,OBC,Yes,No,No,Senior Citizen Pension & Healthcare
51,Female,Karnataka,142200.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
23,Male,Madhya Pradesh,126500.0,Self-Employed,ST,Yes,No,No,Skill Development & Entrepreneurship
39,Female,Maharashtra,59100.0,Self-Employed,OBC,Yes,No,No,Women & Child Development
28,Male,West Bengal,599800.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
65,Male,Tamil Nadu,123200.0,Self-Employed,ST,Yes,No,Yes,Social Welfare & Disability Support
33,Male,West Bengal,404800.0,Farmer,OBC,Yes,No,No,Agriculture & Farmer Welfare
50,Male,Gujarat,67800.0,Student,General,No,Yes,No,Education & Scholarships
26,Male,Madhya Pradesh,172900.0,Farmer,General,Yes,No,No,Agriculture & Farmer Welfare
23,Male,Rajasthan,34400.0,Daily Wage Worker,ST,Yes,No,No,Rural & Urban Livelihood Support
33,Female,Gujarat,290100.0,Salaried,OBC,Yes,No,No,Women & Child Development
46,Male,Karnataka,186500.0,Artisan,ST,No,No,No,Skill Development & Entrepreneurship
20,Female,Karnataka,206800.0,Self-Employed,General,No,No,No,Women & Child Development
37,Male,Maharashtra,39600.0,Student,General,Yes,Yes,No,Education & Scholarships
53,Female,Gujarat,72700.0,Salaried,OBC,Yes,No,Yes,Social Welfare & Disability Support
36,Female,Maharashtra,43900.0,Self-Employed,OBC,Yes,No,No,Women & Child Development
43,Male,Madhya Pradesh,91400.0,Unemployed,General,Yes,No,No,Rural & Urban Livelihood Support
20,Female,Karnataka,207700.0,Unemployed,General,No,No,No,Women & Child Development
36,Female,Tamil Nadu,180300.0,Farmer,ST,Yes,No,No,Agriculture & Farmer Welfare
